x,y,speed,Player.x,Player.y
334.36127,266.6201,196.36661,833.0,557.0
360.26968,285.6286,196.32733,836.0,552.0
385.9198,304.44763,196.28807,839.0,547.0
411.16187,322.96725,196.24881,843.0,542.0
436.60522,341.63455,196.20956,847.0,537.0
462.6144,360.717,196.17032,850.0,531.0
488.70712,379.86075,196.13109,852.0,527.0
514.0672,398.46698,196.09186,856.0,521.0
540.93335,418.1782,196.05264,860.0,515.0
567.6753,437.79825,196.01343,863.0,512.0
595.40686,458.1444,195.97423,865.0,511.0
619.2334,475.62552,195.93503,865.0,511.0
644.92566,494.47543,195.89584,865.0,511.0
670.3319,513.11554,195.85666,866.0,511.0
696.1159,532.0328,195.81749,870.0,515.0
721.71014,550.8108,195.77832,872.0,530.0
748.7542,570.65247,195.73917,875.0,548.0
773.7966,589.0256,195.70001,877.0,579.0
803.0846,610.5136,195.66087,877.0,607.0
821.1353,634.4737,167.53369,874.0,634.0
794.3513,633.5922,167.50018,873.0,650.0
764.2186,632.6005,167.46669,873.0,654.0
737.4386,631.7192,167.4332,873.0,656.0
712.32886,630.8928,167.3997,873.0,656.0
683.88934,629.95685,167.36623,873.0,656.0
655.45715,629.0211,167.33275,873.0,656.0
628.6979,628.14044,167.29929,873.0,656.0
601.9316,627.2595,167.26582,873.0,656.0
575.1347,626.3776,167.23238,873.0,656.0
546.7343,625.44293,167.19893,873.0,656.0
519.94885,624.5614,167.16548,873.0,656.0
493.2907,623.6841,167.13205,873.0,656.0
466.44177,622.8005,167.09862,873.0,656.0
439.56146,621.91583,167.0652,873.0,656.0
411.46127,620.991,167.03178,873.0,656.0
386.3154,620.16345,166.99838,873.0,656.0
356.37576,619.1781,166.96498,873.0,656.0
329.66864,618.29913,166.9316,873.0,656.0
303.85196,617.44946,166.89821,873.0,656.0
274.57684,616.486,166.86482,873.0,654.0
246.2185,615.55273,166.83145,873.0,653.0
219.42186,614.67084,166.79808,873.0,651.0
192.18164,613.77435,166.76472,873.0,650.0
163.71231,612.8374,166.73137,875.0,648.0
138.58566,612.01044,166.69803,875.0,646.0
111.25748,611.111,166.66469,877.0,644.0
84.4713,610.2295,166.63135,877.0,643.0
57.703636,609.3486,166.59802,877.0,643.0
51.90829,608.4241,166.5647,877.0,643.0
53.324448,607.54614,166.53139,878.0,642.0
53.41367,606.67114,166.49808,878.0,642.0
53.243927,605.7906,166.46478,878.0,642.0
53.33546,604.913,166.43149,879.0,640.0
51.903934,603.98834,166.39821,879.0,640.0
53.259144,603.1083,166.36493,879.0,640.0
53.30852,602.0121,166.33165,879.0,640.0
108.09301,601.0875,166.29839,879.0,640.0
133.47636,600.25214,166.26512,879.0,640.0
160.16476,599.3738,166.23187,879.0,640.0
188.65361,598.4362,166.19862,879.0,640.0
188.65361,598.4362,166.16539,879.0,640.0
217.04172,597.50195,166.13216,879.0,640.0
243.26245,596.63904,166.09892,879.0,640.0
269.95355,595.7606,166.0657,879.0,640.0
297.28677,594.8611,166.03249,879.0,640.0
325.50616,593.9324,165.99928,879.0,640.0
352.1756,593.0547,165.96608,879.0,640.0
380.26294,592.1303,165.93289,879.0,640.0
408.46207,591.2023,165.8997,879.0,640.0
435.12115,590.3249,165.86653,879.0,640.0
463.156,589.4022,165.83336,879.0,640.0
491.3561,588.4741,165.80019,879.0,640.0
518.00006,587.5972,165.76703,879.0,640.0
546.0285,586.6748,165.73387,879.0,640.0
574.21173,585.74725,165.70073,879.0,640.0
599.5661,584.91284,165.66759,879.0,640.0
628.83563,583.9496,165.63446,879.0,640.0
656.9769,583.02344,165.60133,879.0,640.0
681.94305,582.2018,165.5682,879.0,640.0
709.9419,581.28033,165.5351,879.0,640.0
736.54156,580.4049,165.50198,879.0,640.0
764.53015,579.48376,165.46889,879.0,640.0
792.0142,578.5792,165.43579,881.0,635.0
818.63434,577.7031,165.40271,891.0,629.0
844.2291,575.9026,149.70088,903.0,626.0
821.68445,564.9917,149.67094,911.0,621.0
800.13434,554.56213,149.641,921.0,615.0
778.5825,544.1317,149.61108,931.0,609.0
757.0363,533.70404,149.58116,942.0,598.0
735.4873,523.275,149.55124,957.0,583.0
712.6105,512.20337,149.52133,972.0,566.0
692.3399,502.39307,149.49142,983.0,553.0
669.33014,491.25705,149.46153,995.0,537.0
647.25903,480.57532,149.43164,1005.0,527.0
627.0045,470.7728,149.40175,1012.0,522.0
603.5747,459.4335,149.37187,1012.0,520.0
583.32697,449.63425,149.342,1012.0,520.0
561.7039,439.16937,149.31213,1012.0,520.0
538.72833,428.0499,149.28227,1012.0,520.0
517.1185,417.59143,149.25241,1012.0,520.0
